province,year,type,Jan,Feb,Mar,Apr,May,June,Jul,Aug,Sep,Oct,Nov,Dec
K.Pr.Sihaknouk,"2,015",cases,1,1,1,0,2,6,6,6,6,3,4,4
StungTreng,"2,015",cases,1,0,0,0,0,1,4,8,1,6,1,1
SvayRieng,"2,015",cases,0,1,0,0,2,8,20,17,19,8,13,3
Takeo,"2,015",cases,4,3,0,7,18,28,38,56,58,58,32,18
O.Meanchey,"2,015",cases,2,1,0,1,15,43,126,127,100,41,32,18
Kep,"2,015",cases,0,0,0,0,0,0,1,1,1,0,0,0
Paillin,"2,015",cases,0,0,0,3,1,5,12,12,11,8,6,5
B.Meanchey,"2,016",cases,35,26,20,8,27,73,127,138,119,109,51,14
Battambang,"2,016",cases,8,15,12,11,8,38,51,53,58,31,20,6
Kampong Cham,"2,016",cases,26,25,30,36,45,172,359,233,94,56,27,5
Kg.Chhnang,"2,016",cases,12,13,46,36,11,31,65,91,38,33,25,2
KampongSpeu,"2,016",cases,11,12,11,9,10,39,87,106,78,57,31,9
KampongThom,"2,016",cases,70,72,76,85,51,243,496,414,156,73,34,10
Kampot,"2,016",cases,3,1,3,2,4,11,15,17,13,7,3,3
Kandal,"2,016",cases,82,25,34,23,56,137,187,220,161,171,77,27
Koh Kong,"2,016",cases,1,0,1,0,2,1,2,1,2,4,2,0
Kratie,"2,016",cases,3,1,1,0,4,14,16,10,4,9,1,1
MondulKiri,"2,016",cases,1,2,1,1,53,199,206,64,15,0,1,1
Phnom Penh,"2,016",cases,140,43,53,26,38,70,170,261,188,193,168,84
PreahVihear,"2,016",cases,21,22,25,16,18,98,145,115,68,36,22,7
PreyVeng,"2,016",cases,18,12,9,12,14,45,55,71,52,47,33,16
Pursat,"2,016",cases,0,0,1,2,2,3,9,3,3,3,3,0
RattanaKiri,"2,016",cases,2,1,1,0,0,0,1,1,0,1,1,0
Siem Reap,"2,016",cases,51,41,46,64,87,296,613,864,466,240,88,29
K.Pr.Sihaknouk,"2,016",cases,6,1,1,0,2,6,12,9,5,8,5,3
