"year_range","mid_year","corr","provname","comp_prov","full_ts_corr","dist_m","dist_km","dist_from_PP_m","dist_from_PP_km"
"2014-2018",2016,0.234594784799638,"Koh Kong","Svay Rieng",0.442529154638395,251163.28369206,251.16328369206,143492.063353842,143.492063353842
"2015-2019",2017,0.653853071736557,"Koh Kong","Svay Rieng",0.442529154638395,251163.28369206,251.16328369206,143492.063353842,143.492063353842
"2016-2020",2018,0.640811253808139,"Koh Kong","Svay Rieng",0.442529154638395,251163.28369206,251.16328369206,143492.063353842,143.492063353842
"2002-2006",2004,0.25207783387536,"Koh Kong","Takeo",0.322434222817034,150795.977875964,150.795977875964,143492.063353842,143.492063353842
"2003-2007",2005,0.858013920765765,"Koh Kong","Takeo",0.322434222817034,150795.977875964,150.795977875964,143492.063353842,143.492063353842
"2004-2008",2006,0.863161600838469,"Koh Kong","Takeo",0.322434222817034,150795.977875964,150.795977875964,143492.063353842,143.492063353842
"2005-2009",2007,0.835979966063006,"Koh Kong","Takeo",0.322434222817034,150795.977875964,150.795977875964,143492.063353842,143.492063353842
"2006-2010",2008,0.771872061596121,"Koh Kong","Takeo",0.322434222817034,150795.977875964,150.795977875964,143492.063353842,143.492063353842
"2007-2011",2009,0.749483462576991,"Koh Kong","Takeo",0.322434222817034,150795.977875964,150.795977875964,143492.063353842,143.492063353842
"2008-2012",2010,0.376040428599702,"Koh Kong","Takeo",0.322434222817034,150795.977875964,150.795977875964,143492.063353842,143.492063353842
"2009-2013",2011,0.323708419164356,"Koh Kong","Takeo",0.322434222817034,150795.977875964,150.795977875964,143492.063353842,143.492063353842
"2010-2014",2012,0.367475787597078,"Koh Kong","Takeo",0.322434222817034,150795.977875964,150.795977875964,143492.063353842,143.492063353842
"2011-2015",2013,0.39183479015443,"Koh Kong","Takeo",0.322434222817034,150795.977875964,150.795977875964,143492.063353842,143.492063353842
"2012-2016",2014,0.49928893201473,"Koh Kong","Takeo",0.322434222817034,150795.977875964,150.795977875964,143492.063353842,143.492063353842
"2013-2017",2015,0.594830027540426,"Koh Kong","Takeo",0.322434222817034,150795.977875964,150.795977875964,143492.063353842,143.492063353842
"2014-2018",2016,0.254719760135553,"Koh Kong","Takeo",0.322434222817034,150795.977875964,150.795977875964,143492.063353842,143.492063353842
"2015-2019",2017,0.722224347947252,"Koh Kong","Takeo",0.322434222817034,150795.977875964,150.795977875964,143492.063353842,143.492063353842
"2016-2020",2018,0.723327290850328,"Koh Kong","Takeo",0.322434222817034,150795.977875964,150.795977875964,143492.063353842,143.492063353842
"2002-2006",2004,0.0692676746909607,"Koh Kong","Tboung Khmum",0.630760708614474,269252.227454495,269.252227454495,143492.063353842,143.492063353842
"2003-2007",2005,-0.38535114024185,"Koh Kong","Tboung Khmum",0.630760708614474,269252.227454495,269.252227454495,143492.063353842,143.492063353842
"2004-2008",2006,-0.151359723826615,"Koh Kong","Tboung Khmum",0.630760708614474,269252.227454495,269.252227454495,143492.063353842,143.492063353842
"2005-2009",2007,-0.0101550549331355,"Koh Kong","Tboung Khmum",0.630760708614474,269252.227454495,269.252227454495,143492.063353842,143.492063353842
"2006-2010",2008,0.00168287179731336,"Koh Kong","Tboung Khmum",0.630760708614474,269252.227454495,269.252227454495,143492.063353842,143.492063353842
"2007-2011",2009,0.320384808982531,"Koh Kong","Tboung Khmum",0.630760708614474,269252.227454495,269.252227454495,143492.063353842,143.492063353842
"2008-2012",2010,-0.318385674225792,"Koh Kong","Tboung Khmum",0.630760708614474,269252.227454495,269.252227454495,143492.063353842,143.492063353842
"2009-2013",2011,-0.229748086035932,"Koh Kong","Tboung Khmum",0.630760708614474,269252.227454495,269.252227454495,143492.063353842,143.492063353842
"2010-2014",2012,0.0157276698053075,"Koh Kong","Tboung Khmum",0.630760708614474,269252.227454495,269.252227454495,143492.063353842,143.492063353842
"2011-2015",2013,0.165773105449999,"Koh Kong","Tboung Khmum",0.630760708614474,269252.227454495,269.252227454495,143492.063353842,143.492063353842
"2012-2016",2014,-0.1141289463631,"Koh Kong","Tboung Khmum",0.630760708614474,269252.227454495,269.252227454495,143492.063353842,143.492063353842
"2013-2017",2015,-0.0917557962258249,"Koh Kong","Tboung Khmum",0.630760708614474,269252.227454495,269.252227454495,143492.063353842,143.492063353842
"2014-2018",2016,0.170668138980573,"Koh Kong","Tboung Khmum",0.630760708614474,269252.227454495,269.252227454495,143492.063353842,143.492063353842
"2015-2019",2017,0.750948442589154,"Koh Kong","Tboung Khmum",0.630760708614474,269252.227454495,269.252227454495,143492.063353842,143.492063353842
"2016-2020",2018,0.730885148348557,"Koh Kong","Tboung Khmum",0.630760708614474,269252.227454495,269.252227454495,143492.063353842,143.492063353842
"2002-2006",2004,0.335968374877831,"Kratie","Banteay Meanchey",0.338572685975595,345524.628325948,345.524628325948,180738.074505614,180.738074505614
"2003-2007",2005,0.397493739691882,"Kratie","Banteay Meanchey",0.338572685975595,345524.628325948,345.524628325948,180738.074505614,180.738074505614
"2004-2008",2006,0.36605827162761,"Kratie","Banteay Meanchey",0.338572685975595,345524.628325948,345.524628325948,180738.074505614,180.738074505614
"2005-2009",2007,0.250536312404178,"Kratie","Banteay Meanchey",0.338572685975595,345524.628325948,345.524628325948,180738.074505614,180.738074505614
"2006-2010",2008,0.261606667249787,"Kratie","Banteay Meanchey",0.338572685975595,345524.628325948,345.524628325948,180738.074505614,180.738074505614
"2007-2011",2009,0.344474972874406,"Kratie","Banteay Meanchey",0.338572685975595,345524.628325948,345.524628325948,180738.074505614,180.738074505614
"2008-2012",2010,0.103398496169269,"Kratie","Banteay Meanchey",0.338572685975595,345524.628325948,345.524628325948,180738.074505614,180.738074505614
"2009-2013",2011,0.104026404108728,"Kratie","Banteay Meanchey",0.338572685975595,345524.628325948,345.524628325948,180738.074505614,180.738074505614
"2010-2014",2012,0.463542379181114,"Kratie","Banteay Meanchey",0.338572685975595,345524.628325948,345.524628325948,180738.074505614,180.738074505614
"2011-2015",2013,0.33044229657855,"Kratie","Banteay Meanchey",0.338572685975595,345524.628325948,345.524628325948,180738.074505614,180.738074505614
"2012-2016",2014,0.350220112069253,"Kratie","Banteay Meanchey",0.338572685975595,345524.628325948,345.524628325948,180738.074505614,180.738074505614
"2013-2017",2015,0.695918093724505,"Kratie","Banteay Meanchey",0.338572685975595,345524.628325948,345.524628325948,180738.074505614,180.738074505614
"2014-2018",2016,0.546273398455003,"Kratie","Banteay Meanchey",0.338572685975595,345524.628325948,345.524628325948,180738.074505614,180.738074505614
"2015-2019",2017,0.557040214725625,"Kratie","Banteay Meanchey",0.338572685975595,345524.628325948,345.524628325948,180738.074505614,180.738074505614
"2016-2020",2018,0.567733727249898,"Kratie","Banteay Meanchey",0.338572685975595,345524.628325948,345.524628325948,180738.074505614,180.738074505614
"2002-2006",2004,0.151726962530249,"Kratie","Battambang",0.389792176032157,308451.254807362,308.451254807362,180738.074505614,180.738074505614
"2003-2007",2005,0.34770871691463,"Kratie","Battambang",0.389792176032157,308451.254807362,308.451254807362,180738.074505614,180.738074505614
"2004-2008",2006,0.356189089094068,"Kratie","Battambang",0.389792176032157,308451.254807362,308.451254807362,180738.074505614,180.738074505614
"2005-2009",2007,0.254169698129058,"Kratie","Battambang",0.389792176032157,308451.254807362,308.451254807362,180738.074505614,180.738074505614
"2006-2010",2008,0.267852941824701,"Kratie","Battambang",0.389792176032157,308451.254807362,308.451254807362,180738.074505614,180.738074505614
"2007-2011",2009,0.32089664928051,"Kratie","Battambang",0.389792176032157,308451.254807362,308.451254807362,180738.074505614,180.738074505614
"2008-2012",2010,0.101496505944212,"Kratie","Battambang",0.389792176032157,308451.254807362,308.451254807362,180738.074505614,180.738074505614
